iteration,signal,kill_ts_ms,down_ts_ms,up_ts_ms,downtime_from_kill_ms,downtime_from_down_ms
30,SIGKILL,1760367115295,1760367115511,1760367115676,381,165
31,SIGKILL,1760367117681,1760367117912,1760367118070,389,158
32,SIGKILL,1760367120075,1760367120281,1760367120451,376,170
33,SIGKILL,1760367122454,1760367122662,1760367122837,383,175
34,SIGKILL,1760367124841,1760367125037,1760367125200,359,163
35,SIGKILL,1760367127205,1760367127436,1760367127600,395,164
36,SIGKILL,1760367129605,1760367129827,1760367129997,392,170
37,SIGKILL,1760367131999,1760367132229,1760367132399,400,170
38,SIGKILL,1760367134399,1760367134604,1760367134759,360,155
39,SIGKILL,1760367136763,1760367136993,1760367137154,391,161
40,SIGKILL,1760367139155,1760367139388,1760367139543,388,155
41,SIGKILL,1760367141548,1760367141750,1760367141914,366,164
42,SIGKILL,1760367143919,1760367144133,1760367144301,382,168
43,SIGKILL,1760367146305,1760367146510,1760367146679,374,169
44,SIGKILL,1760367148683,1760367148919,1760367149083,400,164
45,SIGKILL,1760367151086,1760367151283,1760367151455,369,172
46,SIGKILL,1760367153460,1760367153686,1760367153849,389,163
47,SIGKILL,1760367155850,1760367156068,1760367156226,376,158
48,SIGKILL,1760367158231,1760367158463,1760367158619,388,156
49,SIGKILL,1760367160624,1760367160839,1760367160991,367,152
50,SIGKILL,1760367162995,1760367163214,1760367163374,379,160
51,SIGKILL,1760367165379,1760367165601,1760367165758,379,157
52,SIGKILL,1760367167763,1760367167983,1760367168132,369,149
53,SIGKILL,1760367170132,1760367170355,1760367170520,388,165
54,SIGKILL,1760367172525,1760367172728,1760367172902,377,174
55,SIGKILL,1760367174907,1760367175117,1760367175289,382,172
56,SIGKILL,1760367177294,1760367177510,1760367177680,386,170
57,SIGKILL,1760367179683,1760367179894,1760367180049,366,155
58,SIGKILL,1760367182054,1760367182257,1760367182416,362,159
59,SIGKILL,1760367184420,1760367184609,1760367184768,348,159
60,SIGKILL,1760367186772,1760367186974,1760367187126,354,152
61,SIGKILL,1760367189130,1760367189346,1760367189510,380,164
62,SIGKILL,1760367191515,1760367191707,1760367191866,351,159
63,SIGKILL,1760367193866,1760367194099,1760367194258,392,159
64,SIGKILL,1760367196263,1760367196478,1760367196637,374,159
65,SIGKILL,1760367198642,1760367198815,1760367198991,349,176
66,SIGKILL,1760367200993,1760367201202,1760367201370,377,168
67,SIGKILL,1760367203371,1760367203580,1760367203750,379,170
68,SIGKILL,1760367205755,1760367205970,1760367206135,380,165
69,SIGKILL,1760367208140,1760367208371,1760367208519,379,148
70,SIGKILL,1760367210521,1760367210748,1760367210914,393,166
71,SIGKILL,1760367212917,1760367213113,1760367213265,348,152
72,SIGKILL,1760367215269,1760367215459,1760367215613,344,154
73,SIGKILL,1760367217616,1760367217814,1760367217982,366,168
74,SIGKILL,1760367219987,1760367220162,1760367220328,341,166
75,SIGKILL,1760367222332,1760367222537,1760367222705,373,168
76,SIGKILL,1760367224710,1760367224921,1760367225084,374,163
77,SIGKILL,1760367227089,1760367227303,1760367227466,377,163
78,SIGKILL,1760367229470,1760367229700,1760367229861,391,161
79,SIGKILL,1760367231864,1760367232054,1760367232216,352,162
80,SIGKILL,1760367234219,1760367234422,1760367234589,370,167
81,SIGKILL,1760367236592,1760367236815,1760367236979,387,164
82,SIGKILL,1760367238983,1760367239182,1760367239338,355,156
83,SIGKILL,1760367241343,1760367241565,1760367241729,386,164
84,SIGKILL,1760367243734,1760367243987,1760367244150,416,163
85,SIGKILL,1760367246156,1760367246388,1760367246550,394,162
86,SIGKILL,1760367248553,1760367248776,1760367248932,379,156
87,SIGKILL,1760367250936,1760367251133,1760367251302,366,169
88,SIGKILL,1760367253308,1760367253529,1760367253685,377,156
89,SIGKILL,1760367255691,1760367255890,1760367256055,364,165
90,SIGKILL,1760367258059,1760367258269,1760367258442,383,173
91,SIGKILL,1760367260446,1760367260647,1760367260810,364,163
92,SIGKILL,1760367262814,1760367263014,1760367263184,370,170
93,SIGKILL,1760367265189,1760367265438,1760367265590,401,152
94,SIGKILL,1760367267593,1760367267804,1760367267961,368,157
95,SIGKILL,1760367269965,1760367270149,1760367270314,349,165
96,SIGKILL,1760367272319,1760367272527,1760367272693,374,166
97,SIGKILL,1760367274696,1760367274891,1760367275049,353,158
98,SIGKILL,1760367277053,1760367277242,1760367277415,362,173
99,SIGKILL,1760367279420,1760367279621,1760367279778,358,157
100,SIGKILL,1760367281783,1760367281971,1760367282132,349,161
