iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
42,tyk,SIGKILL,1764355767407,1764355768689,1282
43,tyk,SIGKILL,1764355771889,1764355773201,1312
44,tyk,SIGKILL,1764355776410,1764355777688,1278
45,tyk,SIGKILL,1764355779841,1764355781122,1281
46,tyk,SIGKILL,1764355783314,1764355784611,1297
47,tyk,SIGKILL,1764355786787,1764355788072,1285
48,tyk,SIGKILL,1764355790261,1764355791545,1284
49,tyk,SIGKILL,1764355793744,1764355795035,1291
50,tyk,SIGKILL,1764355797223,1764355798509,1286
51,tyk,SIGKILL,1764355800705,1764355801922,1217
52,tyk,SIGKILL,1764355804123,1764355805412,1289
53,tyk,SIGKILL,1764355807618,1764355808866,1248
54,tyk,SIGKILL,1764355811044,1764355812280,1236
55,tyk,SIGKILL,1764355814473,1764355815763,1290
56,tyk,SIGKILL,1764355817967,1764355819246,1279
57,tyk,SIGKILL,1764355821455,1764355822686,1231
58,tyk,SIGKILL,1764355825899,1764355827237,1338
59,tyk,SIGKILL,1764355829444,1764355830720,1276
60,tyk,SIGKILL,1764355832924,1764355834220,1296
61,tyk,SIGKILL,1764355836419,1764355837704,1285
62,tyk,SIGKILL,1764355840913,1764355842170,1257
63,tyk,SIGKILL,1764355844361,1764355845664,1303
64,tyk,SIGKILL,1764355847833,1764355849051,1218
65,tyk,SIGKILL,1764355851257,1764355852500,1243
66,tyk,SIGKILL,1764355855705,1764355857022,1317
67,tyk,SIGKILL,1764355859204,1764355860472,1268
68,tyk,SIGKILL,1764355862667,1764355863965,1298
69,tyk,SIGKILL,1764355866178,1764355867418,1240
70,tyk,SIGKILL,1764355869631,1764355870915,1284
71,tyk,SIGKILL,1764355873112,1764355874356,1244
72,tyk,SIGKILL,1764355876542,1764355877829,1287
73,tyk,SIGKILL,1764355880006,1764355881225,1219
74,tyk,SIGKILL,1764355883411,1764355884652,1241
75,tyk,SIGKILL,1764355887834,1764355889157,1323
76,tyk,SIGKILL,1764355891357,1764355892590,1233
77,tyk,SIGKILL,1764355894781,1764355896072,1291
78,tyk,SIGKILL,1764355899248,1764355900543,1295
79,tyk,SIGKILL,1764355902726,1764355903985,1259
80,tyk,SIGKILL,1764355906151,1764355907365,1214
81,tyk,SIGKILL,1764355909557,1764355910826,1269
82,tyk,SIGKILL,1764355913020,1764355914313,1293
83,tyk,SIGKILL,1764355916496,1764355917779,1283
84,tyk,SIGKILL,1764355919951,1764355921211,1260
85,tyk,SIGKILL,1764355923403,1764355924692,1289
86,tyk,SIGKILL,1764355926886,1764355928197,1311
87,tyk,SIGKILL,1764355930390,1764355931630,1240
88,tyk,SIGKILL,1764355933836,1764355935114,1278
89,tyk,SIGKILL,1764355937318,1764355938561,1243
90,tyk,SIGKILL,1764355941737,1764355943001,1264
91,tyk,SIGKILL,1764355946172,1764355947491,1319
92,tyk,SIGKILL,1764355949678,1764355950894,1216
93,tyk,SIGKILL,1764355954064,1764355955366,1302
94,tyk,SIGKILL,1764355957539,1764355958828,1289
95,tyk,SIGKILL,1764355961020,1764355962309,1289
96,tyk,SIGKILL,1764355964508,1764355965751,1243
97,tyk,SIGKILL,1764355967931,1764355969212,1281
98,tyk,SIGKILL,1764355971407,1764355972636,1229
99,tyk,SIGKILL,1764355974823,1764355976112,1289
100,tyk,SIGKILL,1764355978311,1764355979600,1289
