iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
56,traefik,SIGKILL,1764006838797,1764006839269,472
57,traefik,SIGKILL,1764006841445,1764006841921,476
58,traefik,SIGKILL,1764006844123,1764006844422,299
59,traefik,SIGKILL,1764006846612,1764006847097,485
60,traefik,SIGKILL,1764006849284,1764006849575,291
61,traefik,SIGKILL,1764006851769,1764006852131,362
62,traefik,SIGKILL,1764006854330,1764006854908,578
63,traefik,SIGKILL,1764006857063,1764006857350,287
64,traefik,SIGKILL,1764006859526,1764006859849,323
65,traefik,SIGKILL,1764006862012,1764006862556,544
66,traefik,SIGKILL,1764006864760,1764006865654,894
67,traefik,SIGKILL,1764006868834,1764006869152,318
68,traefik,SIGKILL,1764006871358,1764006871767,409
69,traefik,SIGKILL,1764006873979,1764006874391,412
70,traefik,SIGKILL,1764006876597,1764006877012,415
71,traefik,SIGKILL,1764006880205,1764006880903,698
72,traefik,SIGKILL,1764006883103,1764006883527,424
73,traefik,SIGKILL,1764006885736,1764006886205,469
74,traefik,SIGKILL,1764006888378,1764006888912,534
75,traefik,SIGKILL,1764006891103,1764006891564,461
76,traefik,SIGKILL,1764006893768,1764006894136,368
77,traefik,SIGKILL,1764006896295,1764006897000,705
78,traefik,SIGKILL,1764006899160,1764006899692,532
79,traefik,SIGKILL,1764006901882,1764006902422,540
80,traefik,SIGKILL,1764006904627,1764006905605,978
81,traefik,SIGKILL,1764006907796,1764006908281,485
82,traefik,SIGKILL,1764006910468,1764006910879,411
83,traefik,SIGKILL,1764006913050,1764006913472,422
84,traefik,SIGKILL,1764006915671,1764006916065,394
85,traefik,SIGKILL,1764006918291,1764006919006,715
86,traefik,SIGKILL,1764006921187,1764006921832,645
87,traefik,SIGKILL,1764006924009,1764006924764,755
88,traefik,SIGKILL,1764006926954,1764006927322,368
89,traefik,SIGKILL,1764006929482,1764006929839,357
90,traefik,SIGKILL,1764006932031,1764006932452,421
91,traefik,SIGKILL,1764006934632,1764006935037,405
92,traefik,SIGKILL,1764006937197,1764006937580,383
93,traefik,SIGKILL,1764006939784,1764006940325,541
94,traefik,SIGKILL,1764006942519,1764006942944,425
95,traefik,SIGKILL,1764006945176,1764006945594,418
96,traefik,SIGKILL,1764006947789,1764006948324,535
97,traefik,SIGKILL,1764006950513,1764006951101,588
98,traefik,SIGKILL,1764006953315,1764006954166,851
99,traefik,SIGKILL,1764006956379,1764006956790,411
100,traefik,SIGKILL,1764006959017,1764006959641,624
