iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
60,caddy,SIGKILL,1764005837640,1764005837837,197
61,caddy,SIGKILL,1764005840030,1764005840223,193
62,caddy,SIGKILL,1764005842402,1764005842597,195
63,caddy,SIGKILL,1764005844792,1764005844998,206
64,caddy,SIGKILL,1764005847199,1764005847382,183
65,caddy,SIGKILL,1764005849572,1764005849757,185
66,caddy,SIGKILL,1764005851982,1764005852172,190
67,caddy,SIGKILL,1764005854362,1764005854549,187
68,caddy,SIGKILL,1764005856755,1764005856941,186
69,caddy,SIGKILL,1764005859120,1764005859309,189
70,caddy,SIGKILL,1764005862482,1764005862707,225
71,caddy,SIGKILL,1764005864929,1764005865100,171
72,caddy,SIGKILL,1764005867283,1764005867484,201
73,caddy,SIGKILL,1764005869684,1764005869874,190
74,caddy,SIGKILL,1764005872083,1764005872248,165
75,caddy,SIGKILL,1764005874443,1764005874644,201
76,caddy,SIGKILL,1764005876829,1764005877021,192
77,caddy,SIGKILL,1764005879228,1764005879425,197
78,caddy,SIGKILL,1764005881633,1764005881820,187
79,caddy,SIGKILL,1764005884004,1764005884192,188
80,caddy,SIGKILL,1764005886410,1764005886597,187
81,caddy,SIGKILL,1764005889793,1764005890029,236
82,caddy,SIGKILL,1764005892224,1764005892424,200
83,caddy,SIGKILL,1764005894622,1764005894824,202
84,caddy,SIGKILL,1764005897013,1764005897208,195
85,caddy,SIGKILL,1764005899416,1764005899599,183
86,caddy,SIGKILL,1764005901824,1764005902017,193
87,caddy,SIGKILL,1764005904218,1764005904401,183
88,caddy,SIGKILL,1764005906590,1764005906785,195
89,caddy,SIGKILL,1764005908967,1764005909157,190
90,caddy,SIGKILL,1764005911359,1764005911550,191
91,caddy,SIGKILL,1764005913731,1764005913905,174
92,caddy,SIGKILL,1764005916102,1764005916293,191
93,caddy,SIGKILL,1764005918490,1764005918683,193
94,caddy,SIGKILL,1764005920868,1764005921066,198
95,caddy,SIGKILL,1764005923248,1764005923456,208
96,caddy,SIGKILL,1764005925657,1764005925835,178
97,caddy,SIGKILL,1764005928022,1764005928229,207
98,caddy,SIGKILL,1764005930430,1764005930636,206
99,caddy,SIGKILL,1764005932827,1764005933008,181
100,caddy,SIGKILL,1764005935195,1764005935386,191
